state,answer_set,facility_name,independent_preference_for_dem_rep,count,n_respondents,pct_of_respondents
NY,all-surveys,"Onondaga County-Justice Center, NY",The Republican Party,6,17,0.35294117647058826
OH,all-surveys,"Columbiana County Jail, OH",Neither,6,8,0.75
OH,all-surveys,"Mahoning County Justice Center, OH",The Democratic Party,6,36,0.16666666666666666
OH,all-surveys,"Muskingum County, OH",The Republican Party,6,10,0.6
PA,all-surveys,"Allegheny County Jail, PA",The Democratic Party,6,22,0.2727272727272727
PA,all-surveys,"Dauphin County Jail, PA",The Democratic Party,6,39,0.15384615384615385
PA,all-surveys,"Dauphin County Jail, PA",The Republican Party,6,39,0.15384615384615385
PA,all-surveys,"Washington County, PA ",The Democratic Party,6,28,0.21428571428571427
PA,all-surveys,"Washington County, PA ",The Republican Party,6,28,0.21428571428571427
SC,all-surveys,"Pickens County Detention Facility, SC",The Republican Party,6,9,0.6666666666666666
TN,all-surveys,"Hamilton County, TN",The Republican Party,6,19,0.3157894736842105
TX,all-surveys,"Potter County Detention, TX",The Democratic Party,6,28,0.21428571428571427
TX,all-surveys,"Wichita County, TX ",Neither,6,11,0.5454545454545454
UT,all-surveys,"Salt Lake City County, UT",The Republican Party,6,28,0.21428571428571427
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Neither,6,12,0.5
VA,all-surveys,"Norfolk City Jail, VA",Neither,6,8,0.75
VA,all-surveys,"Rappahannock Regional Jail, VA",The Democratic Party,6,31,0.1935483870967742
VA,all-surveys,"Western Regional, VA",The Republican Party,6,23,0.2608695652173913
WA,all-surveys,"Yakima County, WA",The Democratic Party,6,49,0.12244897959183673
WI,all-surveys,"Dodge County, WI",Neither,6,16,0.375
WV,all-surveys,WV DCR Southern Regional Jail,The Republican Party,6,13,0.46153846153846156
WV,all-surveys,WV DCR Tygart Valley Regional Jail,The Democratic Party,6,21,0.2857142857142857
WV,all-surveys,WV DCR Western Regional Jail,Neither,6,14,0.42857142857142855
WV,all-surveys,WV DCR Western Regional Jail,The Republican Party,6,14,0.42857142857142855
