state,answer_set,facility_name,likely_to_vote_in_november_election,count,n_respondents,pct_of_respondents
FL,all-surveys,"Sarasota County, FL",Probably will not vote,9,46,0.1956521739130435
GA,all-surveys,"Bibb County Jail, GA",Definitely will not vote,9,40,0.225
MA,all-surveys,"Barnstable County Correctional Facility, MA",Definitely will vote,9,23,0.391304347826087
MA,all-surveys,"Bristol County House of Correction, MA",Definitely will vote,9,47,0.19148936170212766
MA,all-surveys,"Plymouth County Correctional Facility, MA",Definitely will not vote,9,32,0.28125
MA,all-surveys,"Suffolk County Jail, MA",Probably will not vote,9,63,0.14285714285714285
MA,all-surveys,"Worcester County Jail, MA",Probably will vote,9,51,0.17647058823529413
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Probably will not vote,9,27,0.3333333333333333
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Probably will not vote,9,25,0.36
NM,all-surveys,"Chaves County Adult Detention Center, NM",Definitely will not vote,9,26,0.34615384615384615
NM,all-surveys,"Eddy County Detention Center, NM",Probably will not vote,9,20,0.45
NY,all-surveys,"Chautauqua County, NY",Probably will not vote,9,29,0.3103448275862069
NY,all-surveys,"Erie County, NY",Definitely will not vote,9,46,0.1956521739130435
NY,all-surveys,"Monroe County Sheriff's Department, NY",Definitely will vote,9,62,0.14516129032258066
NY,all-surveys,"Niagara County Correctional Facility, NY",Probably will vote,9,41,0.21951219512195122
NY,all-surveys,"Onondaga County-Justice Center, NY",Definitely will vote,9,25,0.36
OH,all-surveys,"Lorain County, OH ",Probably will not vote,9,28,0.32142857142857145
OH,all-surveys,"Lorain County, OH ",Probably will vote,9,28,0.32142857142857145
PA,all-surveys,"Fayette County, PA",Probably will not vote,9,27,0.3333333333333333
PA,all-surveys,"Franklin County, PA",Probably will not vote,9,25,0.36
PA,all-surveys,"Lebanon County, PA",Probably will vote,9,46,0.1956521739130435
PA,all-surveys,"Montgomery County Correctional Facility, PA",Definitely will not vote,9,56,0.16071428571428573
TX,all-surveys,"Guadalupe County, TX",Definitely will vote,9,50,0.18
TX,all-surveys,"Hunt County, TX",Probably will not vote,9,22,0.4090909090909091
TX,all-surveys,"Potter County Detention, TX",Probably will vote,9,52,0.17307692307692307
TX,all-surveys,"Wichita County, TX ",Definitely will not vote,9,28,0.32142857142857145
VA,all-surveys,"Arlington County Detention Center, VA",Definitely will not vote,9,30,0.3
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Definitely will not vote,9,16,0.5625
WI,all-surveys,"Dodge County, WI",Probably will not vote,9,26,0.34615384615384615
CA,all-surveys,"Madera County, CA",Probably will vote,8,44,0.18181818181818182
CA,all-surveys,"Santa Barbara County, CA",Probably will vote,8,51,0.1568627450980392
CO,all-surveys,"Douglas Detention Center, CO",Probably will vote,8,33,0.24242424242424243
CO,all-surveys,"Pueblo County, CO",Definitely will not vote,8,63,0.12698412698412698
FL,all-surveys,"Escambia County Jail, FL",Definitely will not vote,8,33,0.24242424242424243
FL,all-surveys,"Escambia County Jail, FL",Definitely will vote,8,33,0.24242424242424243
FL,all-surveys,Santa Rosa County FL,Definitely will vote,8,41,0.1951219512195122
GA,all-surveys,"Cobb County, GA",Probably will not vote,8,33,0.24242424242424243
GA,all-surveys,"Dekalb County Jail, GA",Definitely will not vote,8,33,0.24242424242424243
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Probably will not vote,8,27,0.2962962962962963
MA,all-surveys,"Essex County Middleton HOC, MA",Probably will vote,8,60,0.13333333333333333
MA,all-surveys,"Middlesex County House of Corrections, MA",Probably will not vote,8,53,0.1509433962264151
MA,all-surveys,"Norfolk County Jail, MA",Probably will not vote,8,22,0.36363636363636365
MI,all-surveys,"Genesee County, MI",Definitely will vote,8,21,0.38095238095238093
MI,all-surveys,"Kalamazoo County, MI",Probably will vote,8,20,0.4
MT,all-surveys,"Missoula County, MT",Definitely will not vote,8,21,0.38095238095238093
NM,all-surveys,"Lea County Sheriff's Office, NM",Definitely will not vote,8,19,0.42105263157894735
NM,all-surveys,"Lea County Sheriff's Office, NM",Probably will not vote,8,19,0.42105263157894735
NY,all-surveys,"Chautauqua County, NY",Definitely will not vote,8,29,0.27586206896551724
NY,all-surveys,"Ulster County Jail, NY",Definitely will vote,8,17,0.47058823529411764
PA,all-surveys,"Lebanon County, PA",Definitely will not vote,8,46,0.17391304347826086
PA,all-surveys,"Washington County, PA ",Definitely will vote,8,43,0.18604651162790697
SC,all-surveys,"Richland County Glenn Detention Center, SC",Definitely will vote,8,24,0.3333333333333333
TX,all-surveys,"Collin County, TX ",Probably will vote,8,52,0.15384615384615385
TX,all-surveys,"Wichita County, TX ",Probably will not vote,8,28,0.2857142857142857
WI,all-surveys,"Rock County, WI",Definitely will not vote,8,25,0.32
