state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
GA,all-surveys,"Cobb County, GA",Other,14,59,0.23728813559322035
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Independent,14,27,0.5185185185185185
MA,all-surveys,"Essex County Middleton HOC, MA",Other,14,68,0.20588235294117646
NC,all-surveys,"Craven County Jail, NC",Independent,14,33,0.42424242424242425
NY,all-surveys,"Albany County Correctional Facility, NY",Republican,14,87,0.16091954022988506
NY,all-surveys,"Monroe County Sheriff's Department, NY",Republican,14,86,0.16279069767441862
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Other,14,67,0.208955223880597
PA,all-surveys,"Allegheny County Jail, PA",Republican,14,52,0.2692307692307692
PA,all-surveys,"Chester County Prison, PA",Independent,14,31,0.45161290322580644
PA,all-surveys,"Lehigh County, PA",Democrat,14,77,0.18181818181818182
TN,all-surveys,"Hamilton County, TN",Republican,14,46,0.30434782608695654
WA,all-surveys,"King County Adult Detention, WA",Democrat,14,62,0.22580645161290322
WI,all-surveys,"Brown County Jail, WI",Republican,14,71,0.19718309859154928
WV,all-surveys,WV DCR South Central Regional Jail,Independent,14,35,0.4
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Independent, Republican",13,872,0.014908256880733946
CA,all-surveys,"Butte County, CA",Republican,13,56,0.23214285714285715
CA,all-surveys,"Santa Barbara County, CA",Other,13,73,0.1780821917808219
CA,all-surveys,"Santa Barbara County, CA",Republican,13,73,0.1780821917808219
CA,all-surveys,"Sonoma County, CA",Democrat,13,41,0.3170731707317073
CO,all-surveys,"Jefferson County Detention Facility, CO",Democrat,13,75,0.17333333333333334
FL,all-surveys,"Bay County, FL",Republican,13,35,0.37142857142857144
FL,all-surveys,"Leon County Jail, FL",Other,13,95,0.1368421052631579
IL,all-surveys,"Cook County, IL","Independent, Other",13,572,0.022727272727272728
IN,all-surveys,"Hamilton County Main Jail, IN",Other,13,97,0.13402061855670103
MI,all-surveys,"Kent County, MI ",Other,13,97,0.13402061855670103
MO,all-surveys,"Cape Girardeau County Jail, MO",Democrat,13,68,0.19117647058823528
NM,all-surveys,"Eddy County Detention Center, NM",Independent,13,29,0.4482758620689655
NY,all-surveys,"Monroe County Sheriff's Department, NY",Other,13,86,0.1511627906976744
NY,all-surveys,"Pasco County Corrections, FL",Democrat,13,147,0.08843537414965986
NY,all-surveys,"Suffolk County, NY ",Republican,13,71,0.18309859154929578
PA,all-surveys,"Franklin County, PA",Independent,13,33,0.3939393939393939
PA,all-surveys,"Lehigh County, PA",Other,13,77,0.16883116883116883
PA,all-surveys,"Montgomery County Correctional Facility, PA",Other,13,93,0.13978494623655913
SC,all-surveys,"Pickens County Detention Facility, SC",Republican,13,28,0.4642857142857143
TN,all-surveys,"Sullivan County Jail, TN",Democrat,13,88,0.14772727272727273
TX,all-surveys,"Collin County, TX ",Democrat,13,69,0.18840579710144928
TX,all-surveys,"Wichita County, TX ",Republican,13,34,0.38235294117647056
UT,all-surveys,"Salt Lake City County, UT",Republican,13,66,0.19696969696969696
WV,all-surveys,WV DCR North Central Regional Jail,Democrat,13,115,0.11304347826086956
AL,all-surveys,"Montgomery County, AL",Independent,12,27,0.4444444444444444
CA,all-surveys,"Sonoma County, CA",Other,12,41,0.2926829268292683
CA,all-surveys,"Ventura County Sheriff's Office, CA",Other,12,98,0.12244897959183673
CO,all-surveys,"La Plata County, CO ",Independent,12,18,0.6666666666666666
CO,all-surveys,"Larimer County, CO",Other,12,46,0.2608695652173913
CO,all-surveys,"Mesa County, CO",Democrat,12,92,0.13043478260869565
CO,all-surveys,"Mesa County, CO",Other,12,92,0.13043478260869565
FL,all-surveys,"Citrus County Detention Facility, FL",Independent,12,29,0.41379310344827586
FL,all-surveys,"Nassau County, FL",Independent,12,30,0.4
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Other,12,59,0.2033898305084746
FL,all-surveys,"Sarasota County, FL",Other,12,64,0.1875
GA,all-surveys,"Athens Clarke County Jail, GA",Democrat,12,66,0.18181818181818182
GA,all-surveys,"Cobb County, GA",Democrat,12,59,0.2033898305084746
IL,all-surveys,Edovo Go - General,Independent,12,15,0.8
IL,all-surveys,"Kane County, IL",Democrat,12,68,0.17647058823529413
IN,all-surveys,"Elkhart County Jail, IN",Republican,12,55,0.21818181818181817
KY,all-surveys,"Madison County, KY",Republican,12,27,0.4444444444444444
MA,all-surveys,"Barnstable County Correctional Facility, MA",Independent,12,29,0.41379310344827586
MA,all-surveys,"Essex County Middleton HOC, MA",Democrat,12,68,0.17647058823529413
MA,all-surveys,"Essex County Middleton HOC, MA",Republican,12,68,0.17647058823529413
MA,all-surveys,"Plymouth County Correctional Facility, MA",Independent,12,39,0.3076923076923077
MA,all-surveys,"Plymouth County Correctional Facility, MA",Republican,12,39,0.3076923076923077
MI,all-surveys,"Genesee County, MI",Other,12,35,0.34285714285714286
MO,all-surveys,"Cape Girardeau County Jail, MO",Other,12,68,0.17647058823529413
NE,all-surveys,"Lancaster County, NE",Democrat,12,76,0.15789473684210525
NH,all-surveys,"Hillsborough County House of Corrections, NH",Independent,12,23,0.5217391304347826
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Democrat,12,44,0.2727272727272727
NJ,all-surveys,"Essex County Correctional Facility, NJ",Other,12,65,0.18461538461538463
NY,all-surveys,"Chautauqua County, NY",Independent,12,38,0.3157894736842105
NY,all-surveys,"Onondaga County-Justice Center, NY",Independent,12,39,0.3076923076923077
OH,all-surveys,Corrections Center of NW Ohio,Independent,12,44,0.2727272727272727
OH,all-surveys,"Greene County, OH: Adult Detention",Independent,12,26,0.46153846153846156
OH,all-surveys,"Mahoning County Justice Center, OH",Other,12,81,0.14814814814814814
OR,all-surveys,"Lincoln County, OR",Independent,12,38,0.3157894736842105
PA,all-surveys,"Allegheny County Jail, PA",Democrat,12,52,0.23076923076923078
PA,all-surveys,"Berks County Jail, PA",Republican,12,58,0.20689655172413793
PA,all-surveys,"Lackawana County, PA",Other,12,111,0.10810810810810811
PA,all-surveys,"Lancaster County Prison, PA",Democrat,12,59,0.2033898305084746
PA,all-surveys,"Westmoreland County, PA",Democrat,12,90,0.13333333333333333
UT,all-surveys,"Beaver County, UT",Independent,12,40,0.3
UT,all-surveys,"Salt Lake City County, UT",Other,12,66,0.18181818181818182
VA,all-surveys,"Pamunkey Regional Jail, VA",Republican,12,58,0.20689655172413793
